dataset,model,condition,temperature,pre_ece,post_ece,post_nll,post_brier,accuracy
AL6,baseline,clean,0.8518450856208801,0.0064697881364612405,0.008164724720732224,0.02316906861960888,0.010222556692628264,0.9933920704845814
AL6,baseline,noise_0_05,0.8518450856208801,0.8546382164508761,0.8568689393183209,20.1605224609375,1.716506313625522,0.1343612334801762
AL6,baseline,noise_0_10,0.8518450856208801,0.8678414096916299,0.8678414096916299,23.979345321655273,1.7356828193832599,0.13215859030837004
AL6,aafnet,clean,0.2712480425834656,0.23698998948288386,0.004296265903548523,0.012302728369832039,0.007644730827678811,0.9933920704845814
AL6,aafnet,noise_0_05,0.2712480425834656,0.23189534437288797,0.015573906347089942,0.09250706434249878,0.03798410640952811,0.9757709251101322
AL6,aafnet,noise_0_10,0.2712480425834656,0.2368343108157229,0.022719962743935652,0.13164782524108887,0.06012700946943094,0.9625550660792952
ASP_clean,baseline,clean,1.4452695846557617,0.1710790508372066,0.1059545513959657,0.9140142798423767,0.4225301387951217,0.704564785937057
ASP_clean,baseline,noise_0_05,1.4452695846557617,0.49507996439088797,0.3800290883905597,3.1153006553649902,1.1215452753976745,0.14913524241565068
ASP_clean,baseline,noise_0_10,1.4452695846557617,0.9021859347127401,0.9017951837639178,24.718881607055664,1.804069709826579,0.09696626027785654
ASP_clean,aafnet,clean,0.6370972394943237,0.10015376981929776,0.05324074896783915,0.8266093730926514,0.3937433678867082,0.7241281542387298
ASP_clean,aafnet,noise_0_05,0.6370972394943237,0.0982859268940844,0.06149832424814653,0.8635791540145874,0.4139211821834558,0.7022965693223703
ASP_clean,aafnet,noise_0_10,0.6370972394943237,0.09570266463988424,0.06746255590992066,0.9395460486412048,0.4466866395060759,0.6804649844060108
AS25_clean,baseline,clean,1.221028208732605,0.1693886515259007,0.11706539583794867,1.2489932775497437,0.5078588872323251,0.635116598079561
AS25_clean,baseline,noise_0_05,1.221028208732605,0.2927094177024845,0.23047497274995424,4.142871379852295,1.0605368292523751,0.04869684499314129
AS25_clean,baseline,noise_0_10,1.221028208732605,0.9603344861555982,0.9577939714597659,25.97376251220703,1.9214500194536892,0.029835390946502057
AS25_clean,aafnet,clean,0.740321159362793,0.08597560019445681,0.04703686919845181,1.1483203172683716,0.48062439948943725,0.6515775034293553
AS25_clean,aafnet,noise_0_05,0.740321159362793,0.07282673572132616,0.057603133865344686,1.2072792053222656,0.5041342956300958,0.6334019204389575
AS25_clean,aafnet,noise_0_10,0.740321159362793,0.07032159928472607,0.06887872197214305,1.3311315774917603,0.5396395335080842,0.6015089163237312
