dataset,model,test_acc_mean,test_acc_std,macro_f1_mean,macro_f1_std,n_repeats,raw_accs,source,source_path
AL6,baseline,0.9868421052631577,0.004083111123909052,0.9933033296007364,,15,0.9824561403508771;0.9912280701754386;0.9890350877192983;0.9912280701754386;0.9890350877192983;0.9868421052631579;0.9824561403508771;0.9868421052631579;0.9824561403508771;0.9868421052631579;0.9846491228070176;0.9780701754385965;0.9868421052631579;0.993421052631579;0.9912280701754386,5-fold x 3-seed CV for accuracy; single headline ckpt for macro-F1,
AL6,aafnet,0.9913742690058478,0.0029385601231347795,0.9938186810804361,,15,0.993421052631579;0.9956140350877193;0.9912280701754386;0.9868421052631579;0.9890350877192983;0.9956140350877193;0.993421052631579;0.993421052631579;0.9890350877192983;0.9868421052631579;0.9868421052631579;0.9912280701754386;0.9912280701754386;0.993421052631579;0.993421052631579,5-fold x 3-seed CV for accuracy; single headline ckpt for macro-F1,
ASP_clean,baseline,0.7303665910808769,0.004732192635258565,0.7301722236306191,0.0040380387388783325,15,0.7349773242630385;0.7307256235827665;0.7264739229024944;0.7256235827664399;0.7208049886621315;0.7225056689342404;0.7315759637188208;0.7329931972789115;0.7324263038548753;0.7281746031746031;0.7361111111111112;0.7380952380952381;0.7329931972789115;0.7327097505668935;0.7293083900226758,5-fold x 3-seed CV,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/cv_summary.json
ASP_clean,aafnet,0.7358843537414967,0.005206168468897441,0.7362816521268122,0.005170876769392236,15,0.7429138321995464;0.7361111111111112;0.7420634920634921;0.7276077097505669;0.7321428571428571;0.7389455782312925;0.7315759637188208;0.73781179138322;0.7451814058956916;0.7264739229024944;0.7366780045351474;0.7321428571428571;0.7366780045351474;0.7332766439909297;0.7386621315192744,5-fold x 3-seed CV,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/cv_summary.json
AS25_clean,baseline,0.6681527206218564,0.00679170131573523,0.6663185824550484,0.007130737766492625,15,0.6697530864197531;0.6670096021947873;0.6560356652949245;0.663923182441701;0.6618655692729767;0.6772976680384087;0.6745541838134431;0.6759259259259259;0.6646090534979424;0.6800411522633745;0.6724965706447188;0.668724279835391;0.6611796982167353;0.6694101508916324;0.6594650205761317,5-fold x 3-seed CV,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/cv_summary.json
AS25_clean,aafnet,0.6766117969821673,0.005967472355049701,0.6747497031405969,0.006367669126546731,15,0.6793552812071331;0.6807270233196159;0.6786694101508917;0.6676954732510288;0.6700960219478738;0.6831275720164609;0.6796982167352538;0.6762688614540466;0.6676954732510288;0.6796982167352538;0.6776406035665294;0.684156378600823;0.6820987654320988;0.6642661179698217;0.6779835390946503,5-fold x 3-seed CV,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/cv_summary.json
