task,metric,baseline,aafnet,delta,higher_is_better,note
AL6 retrieval,Top-1 retrieval,97.96875,99.28571428571429,1.3169642857142918,True,mAP +0.74 pp
OOD: AL6 -> ASP,Energy AUROC,0.9448552325733892,0.9654521632366551,0.020596930663265844,True,FPR95 0.218 -> 0.152
OOD: AL6 -> AS25,Energy AUROC,0.943546315935776,0.9669905670068829,0.023444251071106925,True,FPR95 0.236 -> 0.161
Selective prediction,AURC (lower),0.8817251794171008,0.0008011668314205618,-0.8809240125856803,False,sigma = 0.05
Aug-invariance,AUROC,0.9513249999999999,0.9999166666666667,0.04859166666666681,True,3-dataset mean
Domain probe,3-domain accuracy,47.905140250759324,53.82022259356181,5.915082342802485,True,random 33.3%
Few-shot ASP,5-way accuracy,43.45333333333333,42.46666666666666,-0.9866666666666717,True,100 episodes
Few-shot AS25,5-way accuracy,57.04,53.879999999999995,-3.1600000000000037,True,100 episodes
