dataset,model,true_class_index,pred_class_index,true_class_name,pred_class_name,count,row_normalized
ASP_clean,baseline,3,4,Classical,Early_Christian_Medieval,12,0.0425531914893617
ASP_clean,baseline,3,5,Classical,Eclecticism,0,0.0
ASP_clean,baseline,3,6,Classical,Modernism,6,0.02127659574468085
ASP_clean,baseline,3,7,Classical,Neoclassicism,5,0.01773049645390071
ASP_clean,baseline,3,8,Classical,Renaissance_and_Colonialism,5,0.01773049645390071
ASP_clean,baseline,3,9,Classical,Revivalism,4,0.014184397163120567
ASP_clean,baseline,4,1,Early_Christian_Medieval,21st_Century,3,0.0076726342710997444
ASP_clean,baseline,4,2,Early_Christian_Medieval,Baroque,13,0.03324808184143223
ASP_clean,baseline,4,3,Early_Christian_Medieval,Classical,5,0.01278772378516624
ASP_clean,baseline,4,4,Early_Christian_Medieval,Early_Christian_Medieval,311,0.7953964194373402
ASP_clean,baseline,4,5,Early_Christian_Medieval,Eclecticism,1,0.0025575447570332483
ASP_clean,baseline,4,6,Early_Christian_Medieval,Modernism,4,0.010230179028132993
ASP_clean,baseline,4,7,Early_Christian_Medieval,Neoclassicism,3,0.0076726342710997444
ASP_clean,baseline,4,8,Early_Christian_Medieval,Renaissance_and_Colonialism,28,0.07161125319693094
ASP_clean,baseline,4,9,Early_Christian_Medieval,Revivalism,23,0.058823529411764705
ASP_clean,baseline,5,1,Eclecticism,21st_Century,2,0.005154639175257732
ASP_clean,baseline,5,2,Eclecticism,Baroque,8,0.020618556701030927
ASP_clean,baseline,5,3,Eclecticism,Classical,0,0.0
ASP_clean,baseline,5,4,Eclecticism,Early_Christian_Medieval,11,0.028350515463917526
ASP_clean,baseline,5,5,Eclecticism,Eclecticism,272,0.7010309278350515
ASP_clean,baseline,5,6,Eclecticism,Modernism,16,0.041237113402061855
ASP_clean,baseline,5,7,Eclecticism,Neoclassicism,11,0.028350515463917526
ASP_clean,baseline,5,8,Eclecticism,Renaissance_and_Colonialism,20,0.05154639175257732
ASP_clean,baseline,5,9,Eclecticism,Revivalism,48,0.12371134020618557
ASP_clean,baseline,6,1,Modernism,21st_Century,66,0.12177121771217712
ASP_clean,baseline,6,2,Modernism,Baroque,4,0.007380073800738007
ASP_clean,baseline,6,3,Modernism,Classical,3,0.005535055350553505
ASP_clean,baseline,6,4,Modernism,Early_Christian_Medieval,4,0.007380073800738007
ASP_clean,baseline,6,5,Modernism,Eclecticism,13,0.023985239852398525
ASP_clean,baseline,6,6,Modernism,Modernism,426,0.7859778597785978
ASP_clean,baseline,6,7,Modernism,Neoclassicism,7,0.012915129151291513
ASP_clean,baseline,6,8,Modernism,Renaissance_and_Colonialism,9,0.016605166051660517
ASP_clean,baseline,6,9,Modernism,Revivalism,10,0.01845018450184502
ASP_clean,baseline,7,1,Neoclassicism,21st_Century,2,0.005633802816901409
ASP_clean,baseline,7,2,Neoclassicism,Baroque,10,0.028169014084507043
ASP_clean,baseline,7,3,Neoclassicism,Classical,3,0.008450704225352112
ASP_clean,baseline,7,4,Neoclassicism,Early_Christian_Medieval,1,0.0028169014084507044
ASP_clean,baseline,7,5,Neoclassicism,Eclecticism,13,0.036619718309859155
ASP_clean,baseline,7,6,Neoclassicism,Modernism,17,0.04788732394366197
ASP_clean,baseline,7,7,Neoclassicism,Neoclassicism,216,0.6084507042253521
ASP_clean,baseline,7,8,Neoclassicism,Renaissance_and_Colonialism,55,0.15492957746478872
ASP_clean,baseline,7,9,Neoclassicism,Revivalism,38,0.10704225352112676
ASP_clean,baseline,8,1,Renaissance_and_Colonialism,21st_Century,4,0.010899182561307902
ASP_clean,baseline,8,2,Renaissance_and_Colonialism,Baroque,28,0.07629427792915532
ASP_clean,baseline,8,3,Renaissance_and_Colonialism,Classical,6,0.01634877384196185
ASP_clean,baseline,8,4,Renaissance_and_Colonialism,Early_Christian_Medieval,30,0.08174386920980926
ASP_clean,baseline,8,5,Renaissance_and_Colonialism,Eclecticism,16,0.043596730245231606
ASP_clean,baseline,8,6,Renaissance_and_Colonialism,Modernism,8,0.021798365122615803
ASP_clean,baseline,8,7,Renaissance_and_Colonialism,Neoclassicism,37,0.1008174386920981
ASP_clean,baseline,8,8,Renaissance_and_Colonialism,Renaissance_and_Colonialism,203,0.553133514986376
ASP_clean,baseline,8,9,Renaissance_and_Colonialism,Revivalism,35,0.09536784741144415
ASP_clean,baseline,9,1,Revivalism,21st_Century,5,0.009041591320072333
ASP_clean,baseline,9,2,Revivalism,Baroque,15,0.027124773960216998
ASP_clean,baseline,9,3,Revivalism,Classical,2,0.003616636528028933
ASP_clean,baseline,9,4,Revivalism,Early_Christian_Medieval,12,0.0216998191681736
ASP_clean,baseline,9,5,Revivalism,Eclecticism,62,0.11211573236889692
ASP_clean,baseline,9,6,Revivalism,Modernism,16,0.028933092224231464
ASP_clean,baseline,9,7,Revivalism,Neoclassicism,16,0.028933092224231464
ASP_clean,baseline,9,8,Revivalism,Renaissance_and_Colonialism,42,0.0759493670886076
ASP_clean,baseline,9,9,Revivalism,Revivalism,383,0.6925858951175407
ASP_clean,aafnet,1,1,21st_Century,21st_Century,274,0.8011695906432749
ASP_clean,aafnet,1,2,21st_Century,Baroque,1,0.0029239766081871343
ASP_clean,aafnet,1,3,21st_Century,Classical,2,0.005847953216374269
ASP_clean,aafnet,1,4,21st_Century,Early_Christian_Medieval,1,0.0029239766081871343
ASP_clean,aafnet,1,5,21st_Century,Eclecticism,4,0.011695906432748537
ASP_clean,aafnet,1,6,21st_Century,Modernism,47,0.13742690058479531
ASP_clean,aafnet,1,7,21st_Century,Neoclassicism,2,0.005847953216374269
ASP_clean,aafnet,1,8,21st_Century,Renaissance_and_Colonialism,9,0.02631578947368421
ASP_clean,aafnet,1,9,21st_Century,Revivalism,2,0.005847953216374269
ASP_clean,aafnet,2,1,Baroque,21st_Century,2,0.006493506493506494
ASP_clean,aafnet,2,2,Baroque,Baroque,208,0.6753246753246753
ASP_clean,aafnet,2,3,Baroque,Classical,1,0.003246753246753247
ASP_clean,aafnet,2,4,Baroque,Early_Christian_Medieval,17,0.05519480519480519
ASP_clean,aafnet,2,5,Baroque,Eclecticism,6,0.01948051948051948
ASP_clean,aafnet,2,6,Baroque,Modernism,2,0.006493506493506494
ASP_clean,aafnet,2,7,Baroque,Neoclassicism,16,0.05194805194805195
ASP_clean,aafnet,2,8,Baroque,Renaissance_and_Colonialism,42,0.13636363636363635
ASP_clean,aafnet,2,9,Baroque,Revivalism,14,0.045454545454545456
ASP_clean,aafnet,3,1,Classical,21st_Century,8,0.028368794326241134
ASP_clean,aafnet,3,2,Classical,Baroque,2,0.0070921985815602835
ASP_clean,aafnet,3,3,Classical,Classical,240,0.851063829787234
ASP_clean,aafnet,3,4,Classical,Early_Christian_Medieval,13,0.04609929078014184
ASP_clean,aafnet,3,5,Classical,Eclecticism,1,0.0035460992907801418
ASP_clean,aafnet,3,6,Classical,Modernism,4,0.014184397163120567
ASP_clean,aafnet,3,7,Classical,Neoclassicism,1,0.0035460992907801418
ASP_clean,aafnet,3,8,Classical,Renaissance_and_Colonialism,13,0.04609929078014184
ASP_clean,aafnet,3,9,Classical,Revivalism,0,0.0
ASP_clean,aafnet,4,1,Early_Christian_Medieval,21st_Century,6,0.015345268542199489
ASP_clean,aafnet,4,2,Early_Christian_Medieval,Baroque,12,0.030690537084398978
ASP_clean,aafnet,4,3,Early_Christian_Medieval,Classical,3,0.0076726342710997444
ASP_clean,aafnet,4,4,Early_Christian_Medieval,Early_Christian_Medieval,309,0.7902813299232737
ASP_clean,aafnet,4,5,Early_Christian_Medieval,Eclecticism,4,0.010230179028132993
ASP_clean,aafnet,4,6,Early_Christian_Medieval,Modernism,6,0.015345268542199489
ASP_clean,aafnet,4,7,Early_Christian_Medieval,Neoclassicism,7,0.017902813299232736
ASP_clean,aafnet,4,8,Early_Christian_Medieval,Renaissance_and_Colonialism,21,0.05370843989769821
ASP_clean,aafnet,4,9,Early_Christian_Medieval,Revivalism,23,0.058823529411764705
ASP_clean,aafnet,5,1,Eclecticism,21st_Century,2,0.005154639175257732
ASP_clean,aafnet,5,2,Eclecticism,Baroque,4,0.010309278350515464
ASP_clean,aafnet,5,3,Eclecticism,Classical,0,0.0
ASP_clean,aafnet,5,4,Eclecticism,Early_Christian_Medieval,7,0.01804123711340206
ASP_clean,aafnet,5,5,Eclecticism,Eclecticism,262,0.6752577319587629
ASP_clean,aafnet,5,6,Eclecticism,Modernism,16,0.041237113402061855
ASP_clean,aafnet,5,7,Eclecticism,Neoclassicism,23,0.059278350515463915
ASP_clean,aafnet,5,8,Eclecticism,Renaissance_and_Colonialism,18,0.04639175257731959
ASP_clean,aafnet,5,9,Eclecticism,Revivalism,56,0.14432989690721648
ASP_clean,aafnet,6,1,Modernism,21st_Century,75,0.13837638376383765
ASP_clean,aafnet,6,2,Modernism,Baroque,2,0.0036900369003690036
ASP_clean,aafnet,6,3,Modernism,Classical,0,0.0
ASP_clean,aafnet,6,4,Modernism,Early_Christian_Medieval,3,0.005535055350553505
ASP_clean,aafnet,6,5,Modernism,Eclecticism,15,0.027675276752767528
ASP_clean,aafnet,6,6,Modernism,Modernism,430,0.7933579335793358
ASP_clean,aafnet,6,7,Modernism,Neoclassicism,3,0.005535055350553505
ASP_clean,aafnet,6,8,Modernism,Renaissance_and_Colonialism,8,0.014760147601476014
ASP_clean,aafnet,6,9,Modernism,Revivalism,6,0.01107011070110701
ASP_clean,aafnet,7,1,Neoclassicism,21st_Century,4,0.011267605633802818
ASP_clean,aafnet,7,2,Neoclassicism,Baroque,10,0.028169014084507043
ASP_clean,aafnet,7,3,Neoclassicism,Classical,0,0.0
ASP_clean,aafnet,7,4,Neoclassicism,Early_Christian_Medieval,2,0.005633802816901409
ASP_clean,aafnet,7,5,Neoclassicism,Eclecticism,17,0.04788732394366197
ASP_clean,aafnet,7,6,Neoclassicism,Modernism,16,0.04507042253521127
ASP_clean,aafnet,7,7,Neoclassicism,Neoclassicism,235,0.6619718309859155
ASP_clean,aafnet,7,8,Neoclassicism,Renaissance_and_Colonialism,47,0.1323943661971831
ASP_clean,aafnet,7,9,Neoclassicism,Revivalism,24,0.0676056338028169
ASP_clean,aafnet,8,1,Renaissance_and_Colonialism,21st_Century,6,0.01634877384196185
ASP_clean,aafnet,8,2,Renaissance_and_Colonialism,Baroque,50,0.1362397820163488
ASP_clean,aafnet,8,3,Renaissance_and_Colonialism,Classical,3,0.008174386920980926
ASP_clean,aafnet,8,4,Renaissance_and_Colonialism,Early_Christian_Medieval,24,0.0653950953678474
ASP_clean,aafnet,8,5,Renaissance_and_Colonialism,Eclecticism,14,0.03814713896457766
ASP_clean,aafnet,8,6,Renaissance_and_Colonialism,Modernism,5,0.013623978201634877
ASP_clean,aafnet,8,7,Renaissance_and_Colonialism,Neoclassicism,41,0.11171662125340599
ASP_clean,aafnet,8,8,Renaissance_and_Colonialism,Renaissance_and_Colonialism,195,0.5313351498637602
ASP_clean,aafnet,8,9,Renaissance_and_Colonialism,Revivalism,29,0.07901907356948229
ASP_clean,aafnet,9,1,Revivalism,21st_Century,5,0.009041591320072333
ASP_clean,aafnet,9,2,Revivalism,Baroque,14,0.02531645569620253
ASP_clean,aafnet,9,3,Revivalism,Classical,1,0.0018083182640144665
ASP_clean,aafnet,9,4,Revivalism,Early_Christian_Medieval,11,0.019891500904159132
ASP_clean,aafnet,9,5,Revivalism,Eclecticism,42,0.0759493670886076
ASP_clean,aafnet,9,6,Revivalism,Modernism,13,0.023508137432188065
ASP_clean,aafnet,9,7,Revivalism,Neoclassicism,12,0.0216998191681736
ASP_clean,aafnet,9,8,Revivalism,Renaissance_and_Colonialism,54,0.09764918625678119
ASP_clean,aafnet,9,9,Revivalism,Revivalism,401,0.7251356238698011
AS25_clean,baseline,1,1,Achaemenid architecture,Achaemenid architecture,97,0.8434782608695652
AS25_clean,baseline,1,2,Achaemenid architecture,American Foursquare architecture,0,0.0
AS25_clean,baseline,1,3,Achaemenid architecture,American craftsman style,0,0.0
AS25_clean,baseline,1,4,Achaemenid architecture,Ancient Egyptian architecture,10,0.08695652173913043
AS25_clean,baseline,1,5,Achaemenid architecture,Art Deco architecture,0,0.0
AS25_clean,baseline,1,6,Achaemenid architecture,Art Nouveau architecture,0,0.0
AS25_clean,baseline,1,7,Achaemenid architecture,Baroque architecture,1,0.008695652173913044
