dataset,role,condition,stage,metric,n,mean,std
ASP_clean,baseline,noise_0_05,pre,brier,15,1.20988836,0.07774544
ASP_clean,baseline,noise_0_05,pre,ece,15,0.46431627,0.07620541
ASP_clean,baseline,noise_0_05,pre,nll,15,3.88768865,0.47267544
ASP_clean,baseline,noise_0_10,post,accuracy,15,0.11626500,0.02386157
ASP_clean,baseline,noise_0_10,post,brier,15,1.74648306,0.05956158
ASP_clean,baseline,noise_0_10,post,ece,15,0.86922172,0.03362854
ASP_clean,baseline,noise_0_10,post,nll,15,23.26528880,1.18725000
ASP_clean,baseline,noise_0_10,pre,accuracy,15,0.11626500,0.02386157
ASP_clean,baseline,noise_0_10,pre,brier,15,1.75310439,0.05441936
ASP_clean,baseline,noise_0_10,pre,ece,15,0.87380905,0.02940026
ASP_clean,baseline,noise_0_10,pre,nll,15,23.64783859,1.06081479
