metric,baseline_pct,aafnet_pct
Retr. Top-1,97.96875,99.28571428571429
Retr. mAP,98.88169642857143,99.62053571428571
OOD AUROC,94.42007742545826,96.62213651217691
Selective acc.,13.235294117647056,100.0
Aug. AUROC,97.78750000000001,100.0
Domain probe,47.905140250759324,53.82022259356181
Perturb. probe,84.05555555555554,94.83333333333333
