dataset,model,mean_acc_pct,std_pct,raw_acc_pct
ASP_clean,baseline,70.95616024187453,0.37413057205637634,70.4649;71.0317;71.3719
AS25_clean,baseline,64.7119341563786,0.8743174748958835,63.5117;65.0549;65.5693
ASP_clean,aafnet,72.43008314436887,0.30204775818491575,72.3923;72.0805;72.8175
AS25_clean,aafnet,64.52903520804756,0.5489349430060807,65.1578;63.8203;64.6091
