dataset,role,task,seed,fold,status,checkpoint,result
ASP_clean,aafnet,asp_aafnet,1337,1,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold1_train/20260619_141640/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,1337,2,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold2_train/20260619_142315/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,1337,3,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold3_train/20260619_143118/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,1337,4,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold4_train/20260619_143924/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,2024,0,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold0_train/20260619_144636/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,2024,1,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold1_train/20260619_145417/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,2024,2,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold2_train/20260619_145923/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,2024,3,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold3_train/20260619_150434/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
ASP_clean,aafnet,asp_aafnet,2024,4,robustness_complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold4_train/20260619_151306/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/asp_aafnet/public_cv_parity_v1/seed2024_fold4/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,42,0,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed42_fold0_train/20260619_152101/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed42_fold0/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,42,1,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed42_fold1_train/20260619_152634/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed42_fold1/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,42,2,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed42_fold2_train/20260619_153101/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed42_fold2/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,42,3,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed42_fold3_train/20260619_153618/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed42_fold3/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,42,4,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed42_fold4_train/20260619_154201/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed42_fold4/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,1337,0,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed1337_fold0_train/20260619_154619/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,1337,1,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed1337_fold1_train/20260619_155028/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,1337,2,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed1337_fold2_train/20260619_155452/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,1337,3,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed1337_fold3_train/20260619_155944/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,1337,4,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed1337_fold4_train/20260619_160345/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed1337_fold4/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,2024,0,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed2024_fold0_train/20260619_160835/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed2024_fold0/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,2024,1,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed2024_fold1_train/20260619_161249/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed2024_fold1/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,2024,2,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed2024_fold2_train/20260619_161653/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed2024_fold2/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,2024,3,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed2024_fold3_train/20260619_162017/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed2024_fold3/eval/resnet50/results.json
AS25_clean,baseline,as25_baseline,2024,4,robustness_complete,outputs/cv_as25_baseline/public_cv_parity_v1/resnet50/seed2024_fold4_train/20260619_162516/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_baseline/public_cv_parity_v1/seed2024_fold4/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,42,0,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed42_fold0_train/20260619_162920/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed42_fold0/eval/resnet50/results.json
AS25_clean,aafnet,as25_aafnet,42,1,robustness_complete,outputs/cv_as25_aafnet/public_cv_parity_v1/resnet50/seed42_fold1_train/20260619_163700/resnet50/best_resnet50.pth,outputs/public_robustness_attribution/as25_aafnet/public_cv_parity_v1/seed42_fold1/eval/resnet50/results.json
