dataset,role,task,seed,fold,condition,stage,metric,value,temperature,result_path
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,pre,ece,0.4470354767554808,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,pre,nll,3.902616024017334,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,pre,brier,1.2031315798917381,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,post,accuracy,0.12900481996030622,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,post,ece,0.34372331660429944,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,post,nll,3.138688564300537,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_05,post,brier,1.1019531821266981,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,pre,accuracy,0.09696626027785654,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,pre,ece,0.9028590115366557,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,pre,nll,24.841386795043945,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,pre,brier,1.8056889109363552,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,post,accuracy,0.09696626027785654,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,post,ece,0.9026260420760319,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,post,nll,24.71445083618164,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,1,noise_0_10,post,brier,1.805245180214869,1.4254896640777588,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold1/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,pre,accuracy,0.7263963708534165,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,pre,ece,0.17163397749473466,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
ASP_clean,baseline,asp_baseline,42,2,clean,pre,nll,1.1888513565063477,1.472481369972229,outputs/public_calibration_rotation/asp_baseline/public_cv_parity_v1/seed42_fold2/results.json
