dataset,role,task,seed,fold,metric,value,clean_accuracy,result_path
ASP_clean,baseline,asp_baseline,1337,0,motion_blur_mean,0.4346470087893394,0.7227105188545506,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,0,jpeg_compress_mean,0.6902939230696532,0.7227105188545506,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,0,brightness_mean,0.683489273225593,0.7227105188545506,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,0,occlusion_mean,0.6781022587657121,0.7227105188545506,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,0,all_corruption_mean,0.520499007655231,0.7227105188545506,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold0/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,gauss_noise_mean,0.1047160003780361,0.7314998582364616,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,motion_blur_mean,0.4058217559776959,0.7314998582364616,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,jpeg_compress_mean,0.6947358472734146,0.7314998582364616,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,brightness_mean,0.6781967677913241,0.7314998582364616,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,occlusion_mean,0.6685568471789056,0.7314998582364616,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,1,all_corruption_mean,0.5104054437198753,0.7314998582364616,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold1/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,gauss_noise_mean,0.14733957092902372,0.7329174936206407,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,motion_blur_mean,0.4400340232492203,0.7329174936206407,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,jpeg_compress_mean,0.7036196956809375,0.7329174936206407,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,brightness_mean,0.6850959266609962,0.7329174936206407,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,occlusion_mean,0.6778187316888763,0.7329174936206407,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,2,all_corruption_mean,0.5307815896418108,0.7329174936206407,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold2/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,gauss_noise_mean,0.10008505812305075,0.7320669123901332,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,motion_blur_mean,0.38928267649560533,0.7320669123901332,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,jpeg_compress_mean,0.6999338436820717,0.7320669123901332,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,brightness_mean,0.6824496739438617,0.7320669123901332,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,occlusion_mean,0.6759285511766374,0.7320669123901332,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
ASP_clean,baseline,asp_baseline,1337,3,all_corruption_mean,0.5095359606842453,0.7320669123901332,outputs/public_robustness_attribution/asp_baseline/public_cv_parity_v1/seed1337_fold3/eval/resnet50/results.json
