config,condition,accuracy_pct,std_pct
baseline,clean,98.17251461988305,0.27351296686943805
baseline,gauss_noise@0.05,13.215859030837004,4.327507203609803
baseline,gauss_noise@0.1,13.215859030837004,5.035661732593906
baseline,motion_blur@11,58.0029368575624,4.793244858722309
baseline,motion_blur@17,49.9265785609398,3.0959131633345103
baseline,brightness@0.4,84.14096916299559,1.5984978749689591
baseline,occlusion@0.3,91.92364170337738,1.0383359488789272
nx_only,clean,98.83040935672514,0.27351296686943904
nx_only,gauss_noise@0.05,97.94419970631424,0.10383359488788803
nx_only,gauss_noise@0.1,95.96182085168869,0.849914603729093
nx_only,motion_blur@11,54.69897209985316,5.6223758352647994
nx_only,motion_blur@17,43.68575624082232,3.1477167562740114
nx_only,brightness@0.4,83.77386196769456,1.3735893490359519
nx_only,occlusion@0.3,90.89574155653452,0.10383359488789325
archaug_with_noise,clean,98.53801169590643,0.206756368767997
archaug_with_noise,gauss_noise@0.05,97.13656387665198,0.47582530825315056
archaug_with_noise,gauss_noise@0.1,95.81497797356829,0.6484405922413984
archaug_with_noise,motion_blur@11,80.61674008810571,3.0731937645310365
archaug_with_noise,motion_blur@17,70.63142437591777,2.021424360930428
archaug_with_noise,brightness@0.4,92.65785609397945,0.810966300821382
archaug_with_noise,occlusion@0.3,93.02496328928046,0.9228931784123724
aafnet_full,clean,98.9766081871345,0.206756368767997
aafnet_full,gauss_noise@0.05,96.98972099853157,0.27471786980719315
aafnet_full,gauss_noise@0.1,95.96182085168869,0.9905093658760663
aafnet_full,motion_blur@11,71.58590308370044,4.005339705429031
aafnet_full,motion_blur@17,63.21585903083701,6.0749308644457
aafnet_full,brightness@0.4,92.29074889867842,0.783926450222564
aafnet_full,occlusion@0.3,93.53891336270192,0.9052002941217316
