model,mean_acc_pct,std_pct,mean_rank,fold_acc_pct
aafnet,99.13742690058479,0.29385601231347797,2.033333333333333,99.3421;99.5614;99.1228;98.6842;98.9035;99.5614;99.3421;99.3421;98.9035;98.6842;98.6842;99.1228;99.1228;99.3421;99.3421
efficientnet_v2_s,98.90350877192982,0.40831111239090684,2.8,98.9035;99.7807;99.3421;99.3421;98.9035;98.0263;98.6842;98.6842;98.2456;98.9035;99.1228;98.9035;98.9035;98.9035;98.9035
rn50_aug_only,98.93274853801167,0.35691683086940773,2.8333333333333335,98.4649;99.3421;98.4649;99.1228;98.9035;99.3421;99.3421;99.1228;98.9035;99.3421;98.9035;98.2456;98.9035;99.1228;98.4649
convnext_tiny,98.84502923976606,0.2036314075611729,3.466666666666667,98.9035;98.9035;99.3421;98.6842;98.4649;98.9035;98.9035;99.1228;98.6842;98.6842;98.9035;98.6842;98.6842;98.9035;98.9035
baseline,98.68421052631578,0.4083111123909052,3.8666666666666667,98.2456;99.1228;98.9035;99.1228;98.9035;98.6842;98.2456;98.6842;98.2456;98.6842;98.4649;97.8070;98.6842;99.3421;99.1228
capsnet,89.99999999999999,1.2217884453670276,6.0,88.1579;87.5000;88.3772;90.1316;90.5702;91.0088;90.3509;90.1316;90.1316;91.8860;89.2544;91.2281;90.5702;89.2544;91.4474
