dataset,role,output_subdir,seed,fold,status,metric_path
ASP_clean,baseline,cv_asp_baseline,2024,4,complete,outputs/cv_asp_baseline/public_cv_parity_v1/resnet50/seed2024_fold4_train/20260619_133045/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,42,0,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed42_fold0_train/20260619_133644/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,42,1,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed42_fold1_train/20260619_134407/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,42,2,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed42_fold2_train/20260619_135022/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,42,3,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed42_fold3_train/20260619_135823/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,42,4,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed42_fold4_train/20260619_140319/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,1337,0,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold0_train/20260619_140905/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,1337,1,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold1_train/20260619_141640/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,1337,2,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold2_train/20260619_142315/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,1337,3,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold3_train/20260619_143118/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,1337,4,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed1337_fold4_train/20260619_143924/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,2024,0,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold0_train/20260619_144636/resnet50/test_metrics.json
ASP_clean,aafnet,cv_asp_aafnet,2024,1,complete,outputs/cv_asp_aafnet/public_cv_parity_v1/resnet50/seed2024_fold1_train/20260619_145417/resnet50/test_metrics.json
